initial_condition_seed,phase,target_removed_fraction,actual_removed_fraction,location,radius,pre_mass,control_valid,final_mass,final_mass_ratio,mass_ratio_to_control,motion_ratio_to_control,aligned_similarity_to_control,final_occupied_fraction,mass_recovery_time_steps,shape_recovery_time_steps,functional_recovery_time_steps,functionally_recovered,shape_recovered,survived,extinction_step
10009,420,0.1,0.10000000149011612,center,1.682923248456275,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10009,420,0.1,0.10000000149011612,leading,1.8450010871062341,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,80
10009,420,0.1,0.09999994933605194,trailing,2.3320156495788957,70.93578338623047,True,71.30538940429688,1.0052104311875147,1.002302171883132,0.9990107926263204,0.9951869558776496,0.0106201171875,10.0,40.0,50.0,True,True,True,
10009,420,0.15,0.1499999761581421,center,1.896589379243139,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10009,420,0.15,0.1499999761581421,leading,2.289702081383657,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10009,420,0.15,0.1499999761581421,trailing,3.2124517444057448,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10009,420,0.2,0.20000000298023224,center,2.334485029629232,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10009,420,0.2,0.20000000298023224,leading,2.7092381748421945,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10009,420,0.2,0.20000000298023224,trailing,3.487197325778646,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10009,420,0.25,0.2500000298023224,center,2.6418670632886703,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10009,420,0.25,0.2500000298023224,leading,2.949235362493675,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10009,420,0.25,0.2499999701976776,trailing,3.998685727608044,70.93578338623047,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10010,500,0.05,0.050000037997961044,center,1.1756594895770247,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10010,500,0.05,0.050000037997961044,leading,1.4635328173902633,71.30609893798828,True,70.84587097167969,0.9935457419047866,0.9970591516497,1.000723258681505,0.9921720907249593,0.01055908203125,30.0,40.0,50.0,True,True,True,
10010,500,0.05,0.050000037997961044,trailing,1.7422440845689888,71.30609893798828,True,71.08881378173828,0.9969527830089406,1.0004782408467718,0.9999647221148273,0.9873378547353047,0.01055908203125,10.0,0.0,50.0,True,True,True,
10010,500,0.1,0.09999996423721313,center,1.6406516768169488,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,30
10010,500,0.1,0.09999996423721313,leading,1.7039186095599053,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,40
10010,500,0.1,0.10000007599592209,trailing,2.3363472635604596,71.30609893798828,True,71.20024108886719,0.9985154446716661,1.0020464284460318,0.99921175802085,0.9986455788158672,0.0101318359375,30.0,20.0,50.0,True,True,True,
10010,500,0.15,0.15000000596046448,center,2.025177892877255,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10010,500,0.15,0.15000000596046448,leading,2.4002923160819805,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10010,500,0.15,0.15000000596046448,trailing,2.995331325841252,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10010,500,0.2,0.20000004768371582,center,2.3107566411541005,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10010,500,0.2,0.2000000923871994,leading,2.6811979569485636,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10010,500,0.2,0.20000004768371582,trailing,3.5387635977602305,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,20
10010,500,0.25,0.25000008940696716,center,2.602017163316114,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10010,500,0.25,0.2500000298023224,leading,2.951822510045883,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
10010,500,0.25,0.25000008940696716,trailing,3.935279600412421,71.30609893798828,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,10
